sbl	1039/tcp	0.002129
icslap	2869/tcp	0.002129
newoak	4001/tcp	0.002129
barracuda-bbs	5120/tcp	0.002129
xmpp	8010/tcp	0.002129
cslistener	9000/tcp	0.002129
rsvp_tunnel	363/udp	0.002125
eklogin	2105/tcp	0.002120
ldapssl	636/tcp	0.002083
unknown	32818/udp	0.002071
unknown	32931/udp	0.002071
unknown	33744/udp	0.002071
unknown	34125/udp	0.002071
unknown	34892/udp	0.002071
unknown	35438/udp	0.002071
unknown	36206/udp	0.002071
unknown	39888/udp	0.002071
unknown	40116/udp	0.002071
unknown	40441/udp	0.002071
unknown	40708/udp	0.002071
unknown	40732/udp	0.002071
unknown	40915/udp	0.002071
unknown	41081/udp	0.002071
unknown	41370/udp	0.002071
candp	42508/udp	0.002071
unknown	45441/udp	0.002071
directplaysrvr	47624/udp	0.002071
mtqp	1038/tcp	0.002053
rap	38/udp	0.002043
wpages	776/udp	0.002043
zebra	2601/tcp	0.002032
sometimes-rpc16	32776/udp	0.002013
unknown	49157/udp	0.002008
unknown	49161/udp	0.002008
unknown	49170/udp	0.002008
unknown	49173/udp	0.002008
unknown	49176/udp	0.002008
unknown	49197/udp	0.002008
unknown	49207/udp	0.002008
unknown	49503/udp	0.002008
unknown	50612/udp	0.002008
unknown	51717/udp	0.002008
unknown	54281/udp	0.002008
unknown	56141/udp	0.002008
unknown	58631/udp	0.002008
unknown	58640/udp	0.002008
unknown	61370/udp	0.002008
unknown	62287/udp	0.002008
unknown	63555/udp	0.002008
unknown	64513/udp	0.002008
tcpmux	1/tcp	0.001995
afs3-fileserver	7000/tcp	0.001995
dbase	217/udp	0.001993
acmaint_transd	775/udp	0.001993
sometimes-rpc1	1012/udp	0.001993
sanity	643/udp	0.001982
asipregistry	687/udp	0.001982
realm-rusd	688/udp	0.001982
pkix-3-ca-ra	829/udp	0.001982
ideafarm-door	902/udp	0.001982
unknown	959/udp	0.001982
mxxrlogin	1035/udp	0.001982
netarx	1040/udp	0.001982
afrog	1042/udp	0.001982
jstel	1064/udp	0.001982
cognex-insight	1069/udp	0.001982
fjicl-tep-a	1901/udp	0.001982
apc-2160	2160/udp	0.001982
ws-discovery	3702/udp	0.001982
vcom-tunnel	8001/udp	0.001982
unknown	8181/udp	0.001982
tambora	9020/udp	0.001982
unknown	9199/udp	0.001982
unknown	16402/udp	0.001961
unknown	16430/udp	0.001961
unknown	16918/udp	0.001961
unknown	17091/udp	0.001961
unknown	17455/udp	0.001961
unknown	17459/udp	0.001961
unknown	17573/udp	0.001961
unknown	17615/udp	0.001961
unknown	17616/udp	0.001961
unknown	17888/udp	0.001961
unknown	17939/udp	0.001961
unknown	17989/udp	0.001961
unknown	18004/udp	0.001961
unknown	18234/udp	0.001961
unknown	18331/udp	0.001961
unknown	18360/udp	0.001961
unknown	18582/udp	0.001961
unknown	18835/udp	0.001961
unknown	18980/udp	0.001961
unknown	19017/udp	0.001961
unknown	19039/udp	0.001961
unknown	19130/udp	0.001961
unknown	19165/udp	0.001961
unknown	19197/udp	0.001961
unknown	19294/udp	0.001961
unknown	19322/udp	0.001961
unknown	19332/udp	0.001961
unknown	19489/udp	0.001961
unknown	19600/udp	0.001961
unknown	19687/udp	0.001961
unknown	19933/udp	0.001961
unknown	20004/udp	0.001961
unknown	20359/udp	0.001961
unknown	21131/udp	0.001961
unknown	21212/udp	0.001961
unknown	21261/udp	0.001961
unknown	21298/udp	0.001961
unknown	21354/udp	0.001961
unknown	21621/udp	0.001961
unknown	21803/udp	0.001961
unknown	21902/udp	0.001961
unknown	22055/udp	0.001961
unknown	22341/udp	0.001961
unknown	22692/udp	0.001961
unknown	22695/udp	0.001961
unknown	22739/udp	0.001961
unknown	22799/udp	0.001961
unknown	22914/udp	0.001961
unknown	23040/udp	0.001961
unknown	23176/udp	0.001961
unknown	23354/udp	0.001961
unknown	23531/udp	0.001961
unknown	23557/udp	0.001961
unknown	23608/udp	0.001961
unknown	23679/udp	0.001961
unknown	23781/udp	0.001961
unknown	23965/udp	0.001961
unknown	23980/udp	0.001961
unknown	24007/udp	0.001961
unknown	24279/udp	0.001961
unknown	24511/udp	0.001961
unknown	24594/udp	0.001961
unknown	24606/udp	0.001961
unknown	24644/udp	0.001961
unknown	24854/udp	0.001961
unknown	24910/udp	0.001961
icl-twobase4	25003/udp	0.001961
unknown	25157/udp	0.001961
unknown	25240/udp	0.001961
unknown	25280/udp	0.001961
unknown	25337/udp	0.001961
unknown	25462/udp	0.001961
unknown	25541/udp	0.001961
unknown	25546/udp	0.001961
unknown	25709/udp	0.001961
unknown	25931/udp	0.001961
